dataset,polluter,level,model,accuracy,epochs,train_n,test_n
FashionMNIST,blur,0.1,ResNet18,0.8435,10,,
FashionMNIST,blur,0.1,CNNSimple,0.4999,10,,
FashionMNIST,blur,0.5,ResNet18,0.2844,10,,
FashionMNIST,blur,0.5,CNNSimple,0.3492,10,,
FashionMNIST,blur,0.9,ResNet18,0.1757,10,,
FashionMNIST,blur,0.9,CNNSimple,0.2652,10,,
FashionMNIST,class_balance,0.1,ResNet18,0.8873,10,,
FashionMNIST,class_balance,0.1,CNNSimple,0.5771,10,,
FashionMNIST,class_balance,0.5,ResNet18,0.8516,10,,
FashionMNIST,class_balance,0.5,CNNSimple,0.4872,10,,
FashionMNIST,class_balance,0.9,ResNet18,0.7965,10,,
FashionMNIST,class_balance,0.9,CNNSimple,0.1574,10,,
FashionMNIST,completeness_image,0.1,ResNet18,0.8936,10,,
FashionMNIST,completeness_image,0.1,CNNSimple,0.541,10,,
FashionMNIST,completeness_image,0.5,ResNet18,0.8625,10,,
FashionMNIST,completeness_image,0.5,CNNSimple,0.5252,10,,
FashionMNIST,completeness_image,0.9,ResNet18,0.8761,10,,
FashionMNIST,completeness_image,0.9,CNNSimple,0.4269,10,,
FashionMNIST,label_swap,0.1,ResNet18,0.7833,10,,
FashionMNIST,label_swap,0.1,CNNSimple,0.6224,10,,
FashionMNIST,label_swap,0.5,ResNet18,0.5323,10,,
FashionMNIST,label_swap,0.5,CNNSimple,0.4348,10,,
FashionMNIST,label_swap,0.9,ResNet18,0.1496,10,,
FashionMNIST,label_swap,0.9,CNNSimple,0.1029,10,,
FashionMNIST,noise_injection,0.1,ResNet18,0.8735,10,,
FashionMNIST,noise_injection,0.1,CNNSimple,0.6358,10,,
FashionMNIST,noise_injection,0.5,ResNet18,0.8281,10,,
FashionMNIST,noise_injection,0.5,CNNSimple,0.498,10,,
FashionMNIST,noise_injection,0.9,ResNet18,0.8342,10,,
FashionMNIST,noise_injection,0.9,CNNSimple,0.4106,10,,
